Category,Food Name,Description,Food Group,Food Subgroup,Edible Portion,Default Serving Size,Alternative Serving Size(s),Source of Data,Last Updated,Per 100 Unit,Per Serving Size,Energy (kcal) - Per 100,Energy (kcal) - Per Serving,Protein (g) - Per 100,Protein (g) - Per Serving,Total Fat (g) - Per 100,Total Fat (g) - Per Serving,Saturated Fat (g) - Per 100,Saturated Fat (g) - Per Serving,Trans Fat (g) - Per 100,Trans Fat (g) - Per Serving,Carbohydrate (g) - Per 100,Carbohydrate (g) - Per Serving,Sugar (g) - Per 100,Sugar (g) - Per Serving,Added Sugar (g) - Per 100,Added Sugar (g) - Per Serving,Dietary Fibre (g) - Per 100,Dietary Fibre (g) - Per Serving,Sodium (mg) - Per 100,Sodium (mg) - Per Serving,Potassium (mg) - Per 100,Potassium (mg) - Per Serving,Calcium (mg) - Per 100,Calcium (mg) - Per Serving,Iron (mg) - Per 100,Iron (mg) - Per Serving,Water (g) - Per 100,Water (g) - Per Serving,Nitrogen (g) - Per 100,Nitrogen (g) - Per Serving,Polyunsaturated Fat (g) - Per 100,Polyunsaturated Fat (g) - Per Serving,Monounsaturated Fat (g) - Per 100,Monounsaturated Fat (g) - Per Serving,Omega-3 (EPA+DHA) (mg) - Per 100,Omega-3 (EPA+DHA) (mg) - Per Serving,Cholesterol (mg) - Per 100,Cholesterol (mg) - Per Serving,Glucose (g) - Per 100,Glucose (g) - Per Serving,Fructose (g) - Per 100,Fructose (g) - Per Serving,Maltose (g) - Per 100,Maltose (g) - Per Serving,Galactose (g) - Per 100,Galactose (g) - Per Serving,Sucrose (g) - Per 100,Sucrose (g) - Per Serving,Lactose (g) - Per 100,Lactose (g) - Per Serving,Starch (g) - Per 100,Starch (g) - Per Serving,Vitamin A (μg) - Per 100,Vitamin A (μg) - Per Serving,Retinol (μg) - Per 100,Retinol (μg) - Per Serving,B-carotene (μg) - Per 100,B-carotene (μg) - Per Serving,Thiamine (Vitamin B1) (mg) - Per 100,Thiamine (Vitamin B1) (mg) - Per Serving,Riboflavin (Vitamin B2) (mg) - Per 100,Riboflavin (Vitamin B2) (mg) - Per Serving,Vitamin B6 (mg) - Per 100,Vitamin B6 (mg) - Per Serving,Folic Acid (Vitamin B9) (μg) - Per 100,Folic Acid (Vitamin B9) (μg) - Per Serving,Vitamin B12 (μg) - Per 100,Vitamin B12 (μg) - Per Serving,Vitamin C (mg) - Per 100,Vitamin C (mg) - Per Serving,Vitamin D (IU) - Per 100,Vitamin D (IU) - Per Serving,Vitamin E (IU) - Per 100,Vitamin E (IU) - Per Serving,Vitamin K (μg) - Per 100,Vitamin K (μg) - Per Serving,Phosphorus (mg) - Per 100,Phosphorus (mg) - Per Serving,Selenium (μg) - Per 100,Selenium (μg) - Per Serving,Zinc (mg) - Per 100,Zinc (mg) - Per Serving
Fish and seafood,"Cuttlefish, raw","Fresh uncooked cuttlefish with translucent white flesh, firm and smooth texture",Fish and seafood,Seafood,65%,1 whole = 89g,-,Borrowed,2025,Per 100g,Per Serving (89g),79,46,16.24,9.39,0.7,0.4,0.12,0.07,-,-,0.82,0.47,-,-,-,-,0,0,372,215,354,205,90,52,6.02,3.48,80.56,46.6,-,-,0.13,0.08,0.08,0.05,105,60.74,112,64.79,-,-,-,-,-,-,-,-,-,-,-,-,-,-,113,65.37,113,65.37,-,-,0.01,0.01,0.91,0.53,0.15,0.09,16,9.26,3,1.74,5.3,3.07,-,-,-,-,-,-,387,224,44.8,25.92,1.73,1
Fish and seafood,"Jellyfish, raw","Fresh uncooked jellyfish with translucent white to light blue coloring, crisp and crunchy texture",Fish and seafood,Seafood,100%,1 piece(s) = 40g,1 cup(s) = 238g,Borrowed,2025,Per 100g,Per Serving (40g),33,13,3.7,1.48,0.3,0.12,-,-,-,-,3.8,1.52,-,-,-,-,-,-,325,130,160,64,150,60,4.8,1.92,-,-,-,-,-,-,-,-,-,-,8,3.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,12,-,-,0.55,0.22
Fish and seafood,"Lobster, raw","Fresh uncooked crustacean with dark blue-black shell, white to translucent flesh, firm and succulent texture",Fish and seafood,Seafood,30%,1 whole = 150g,-,Borrowed,2025,Per 100g,Per Serving (150g),77,35,16.52,7.43,0.75,0.34,0.18,0.08,Trace,Trace,0,0,0,0,-,-,0,0,423,190,200,90,84,38,0.26,0.12,80.95,36.43,-,-,0.3,0.14,0.22,0.1,170,76.5,127,57.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.45,1,0.45,0,0,0.02,0.01,0.01,Trace,0.1,0.05,10,4.5,1.25,0.56,0,0,1,0.45,1.3,0.59,0,0,161,72,63.6,28.62,3.53,1.59
Fish and seafood,"Shark fillet, raw","Fresh uncooked boneless fillets with firm white to pinkish flesh, dense and meaty texture.",Fish and seafood,Seafood,100%,1 fillet(s) = 200g,-,Borrowed,2025,Per 100g,Per Serving (200g),104,208,24.6,49.2,0.4,0.8,0.1,0.2,0,0,0,0,0,0,0,0,0,0,180,360,345,690,10,20,0.16,0.32,77.4,154.8,3.94,7.88,0.14,0.28,0.06,0.12,102.53,205.06,61,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.12,0.16,0.32,0,0,0.8,1.6,0,0,84,168,0.48,0.96,-,-,208,416,38,76,0.34,0.68
Fish and seafood,"Squid, raw",Fresh uncooked squid with translucent white flesh and purplish-grey skin,Fish and seafood,Seafood,93%,1 whole (medium) = 500g,-,Borrowed,2025,Per 100g,Per Serving (500g),92,428,15.58,72.45,1.38,6.42,0.36,1.67,-,-,3.08,14.32,0,0,-,-,0,0,44,205,246,1144,32,149,0.68,3.16,78.55,365.26,-,-,0.52,2.42,0.11,0.51,488,2269.2,233,1083.45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,46.5,10,46.5,0,0,0.02,0.09,0.41,1.91,0.06,0.28,5,23.25,1.3,6.05,4.7,21.86,0,0,1.79,8.32,0,0,221,1028,44.8,208.32,1.53,7.11
Fish and seafood,Steamed clam,Steamed marine bivalve mollusk in shells with tender and chewy flesh.,Fish and seafood,Seafood,25%,1 whole (medium) = 15g,"1 whole (small) = 9g, 1 whole (large) = 20g",Borrowed,2025,Per 100g,Per Serving (15g),148,6,25.55,0.96,1.95,0.07,0.19,0.01,-,-,5.13,0.19,-,-,-,-,0,0,1202,45,628,24,92,3,2.81,0.11,63.64,2.39,-,-,0.55,0.02,0.17,0.01,284,10.65,67,2.51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,171,6.41,-,-,-,-,0.15,0.01,0.43,0.02,0.11,Trace,29,1.09,98.89,3.71,22.1,0.83,-,-,-,-,-,-,338,13,64,2.4,2.73,0.1
Fish and seafood,Steamed crayfish,"Steamed freshwater crayfish with bright red shell, translucent to white meat, firm and sweet texture",Fish and seafood,Seafood,12%,1 whole = 500g,-,Borrowed,2025,Per 100g,Per Serving (500g),82,49,16.77,10.06,1.2,0.72,0.18,0.11,-,-,0,0,0,0,-,-,0,0,94,56,296,178,60,36,0.83,0.5,79.37,47.62,-,-,0.37,0.22,0.24,0.14,166,99.6,133,79.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,9,15,9,0,0,0.05,0.03,0.09,0.05,0.08,0.05,44,26.4,2.15,1.29,0.9,0.54,0,0,2.24,1.34,0.1,0.06,270,162,36.7,22.02,1.76,1.06
Fish and seafood,Steamed cuttlefish,"Steamed cuttlefish with translucent white flesh, firm and smooth texture",Fish and seafood,Seafood,65%,1 piece(s) = 110g,-,Borrowed,2025,Per 100g,Per Serving (110g),158,113,32.48,23.22,1.4,1,0.24,0.17,-,-,1.64,1.17,-,-,-,-,0,0,744,532,637,455,180,129,10.84,7.75,61.12,43.7,-,-,0.27,0.19,0.16,0.11,210,150.15,224,160.16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,203,145.14,203,145.14,-,-,0.02,0.01,1.73,1.24,0.27,0.19,24,17.16,5.4,3.86,8.5,6.08,-,-,-,-,-,-,580,415,89.6,64.06,3.46,2.47
Fish and seafood,Steamed lobster,"Steamed large crustacean with red shell, white to translucent flesh, firm and succulent texture",Fish and seafood,Seafood,30%,1 whole = 150g,-,Borrowed,2025,Per 100g,Per Serving (150g),89,40,19,8.55,0.86,0.39,0.21,0.09,Trace,Trace,0,0,0,0,-,-,0,0,486,219,230,104,96,43,0.29,0.13,78.11,35.15,-,-,0.34,0.15,0.25,0.11,195,87.75,146,65.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.45,1,0.45,0,0,0.02,0.01,0.02,0.01,0.12,0.05,11,4.95,1.43,0.64,0,0,1,0.45,1.49,0.67,0,0,185,83,73.1,32.89,4.05,1.82
Fish and seafood,Steamed mussel,Steamed shellfish with blue-black shell and orange-yellow meat,Fish and seafood,Seafood,40%,1 whole (medium) = 16g,"1 whole (small) = 10g, 1 whole (large) = 20g",Borrowed,2025,Per 100g,Per Serving (16g),172,11,23.8,1.52,4.48,0.29,0.85,0.05,-,-,7.39,0.47,-,-,-,-,0,0,369,24,268,17,33,2,6.72,0.43,61.15,3.91,-,-,1.21,0.08,1.01,0.06,782,50.05,56,3.58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,91,5.82,91,5.82,-,-,0.3,0.02,0.42,0.03,0.1,0.01,76,4.86,24,1.54,13.6,0.87,-,-,-,-,-,-,285,18,89.6,5.73,2.67,0.17
Fish and seafood,Assam prawn,Prawn fried in thick chilli sauce,Fish and seafood,Seafood-based dishes,100%,1 scoop(s) (serving spoon) = 122g,-,Lab Analysis,2010,Per 100g,Per Serving (122g),110,134,16,19.52,3.88,4.73,1.28,1.56,-,-,2.72,3.32,2.17,2.65,-,-,1.97,2.4,723,882,-,-,86,105,0.59,0.72,-,-,-,-,1.2,1.46,1.22,1.49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Trace,Trace,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.1,0.12,-,-,-,-,-,-,-,-,-,-,-,-
Fish and seafood,Black pepper crab,Crab stir-fried with black pepper sauce,Fish and seafood,Seafood-based dishes,49%,1 pincer(s) = 177g,1 quarter(s) = 384g,Lab Analysis,2010,Per 100g,Per Serving (177g),132,114,19,16.48,6.27,5.44,2.3,1.99,-,-,0,0,0,0,-,-,0,0,894,775,-,-,454,394,2.1,1.82,-,-,-,-,0.4,0.35,1.7,1.47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Trace,Trace,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-
Fish and seafood,Cereal prawn,Deep-fried prawns coated with cereal flakes,Fish and seafood,Seafood-based dishes,67%,1 scoop(s) (serving spoon) = 100g,1 plate(s) = 319g,Lab Analysis,2026,Per 100g,Per Serving (100g),351,235,15.7,10.52,23.65,15.85,12.55,8.41,0,0,18.92,12.68,2.1,1.41,-,-,1.9,1.27,440,295,286,192,142,95,4.63,3.1,37.85,25.36,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0.4,0.27,0,0,1.7,1.14,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fish and seafood,Chilli crab,Crab stir-fried in thick red chilli and egg mixture gravy,Fish and seafood,Seafood-based dishes,100%,1 pincer(s) = 177g,1 quarter(s) = 384g,Lab Analysis,2024,Per 100g,Per Serving (177g),86,152,4.63,8.2,5.1,9.03,2.16,3.82,0,0,5.52,9.77,4.11,7.27,-,-,0.97,1.72,379,671,-,-,92,163,1.25,2.21,-,-,-,-,0.55,0.97,1.55,2.74,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.92,22.87,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-
Fish and seafood,Fried baby sotong,Deep-fried baby squid,Fish and seafood,Seafood-based dishes,100%,1 scoop(s) (serving spoon) = 100g,-,Lab Analysis,2010,Per 100g,Per Serving (100g),418,418,30.2,30.2,27.5,27.5,12.5,12.5,-,-,12.3,12.3,-,-,-,-,0,0,741,741,-,-,65,65,2.9,2.9,-,-,-,-,3.3,3.3,10.5,10.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fish and seafood,Fried beancurd shrimp roll,Fried beancurd skin with shrimp,Fish and seafood,Seafood-based dishes,100%,1 piece(s) = 29g,-,Lab Analysis,2010,Per 100g,Per Serving (29g),265,77,16,4.64,19,5.51,7.27,2.11,-,-,7.6,2.2,2.2,0.64,-,-,2.4,0.7,459,133,-,-,37,11,1.2,0.35,-,-,-,-,3.02,0.88,7.85,2.28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,1.45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-
Fish and seafood,Fried calamari rings,Deep-fried battered squid ring,Fish and seafood,Seafood-based dishes,100%,1 scoop(s) (serving spoon) = 100g,-,Lab Analysis,2010,Per 100g,Per Serving (100g),448,448,18.7,18.7,30.8,30.8,14.74,14.74,-,-,22.6,22.6,0.6,0.6,-,-,0.9,0.9,692,692,-,-,25,25,0.7,0.7,-,-,-,-,3.8,3.8,10.45,10.45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-
Fish and seafood,Fried cuttlefish with chili powder,Deep-fried cuttlefish strips seasoned with spicy chilli powder,Fish and seafood,Seafood-based dishes,100%,1 piece(s) = 100g,-,Lab Analysis,2010,Per 100g,Per Serving (100g),88,88,14.8,14.8,3,3,1.1,1.1,-,-,0.4,0.4,0,0,-,-,0,0,352,352,-,-,13,13,0,0,-,-,-,-,0.2,0.2,0.8,0.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-
Fish and seafood,Fried wanton (pork & prawn),Deep-fried dumpling with minced pork and prawn filling,Fish and seafood,Seafood-based dishes,100%,1 piece(s) = 20g,-,Lab Analysis,2010,Per 100g,Per Serving (20g),424,85,11.7,2.34,29.9,5.98,13.6,2.72,0.01,Trace,26.9,5.38,-,-,-,-,1.5,0.3,735,147,-,-,36,7,0.9,0.18,-,-,-,-,4.7,0.94,10.3,2.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,0.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fish and seafood,Fried wanton (prawn),Deep-fried minced prawn meat mixed with corn starch and wrapped with wanton wrapper,Fish and seafood,Seafood-based dishes,100%,1 piece(s) = 26g,-,Lab Analysis,2010,Per 100g,Per Serving (26g),239,62,12.13,3.15,14.12,3.67,5.64,1.47,-,-,15.94,4.14,3.1,0.81,-,-,1.02,0.27,652,170,-,-,49,13,Trace,Trace,-,-,-,-,2.14,0.56,5.72,1.49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.5,1.95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-
Fish and seafood,Har gao,"Minced prawns and fish meat, wrapped in a flour skin and steamed",Fish and seafood,Seafood-based dishes,100%,1 piece(s) = 25g,-,Lab Analysis,2025,Per 100g,Per Serving (25g),188,47,6.88,1.72,9.25,2.31,3.62,0.91,0.03,0.01,19.25,4.81,1.7,0.43,-,-,1.27,0.32,434,109,87,22,19,5,Trace,Trace,63.1,15.78,-,-,1.53,0.38,3.86,0.96,65,16.25,-,-,Trace,Trace,Trace,Trace,Trace,Trace,Trace,Trace,1.7,0.43,Trace,Trace,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fish and seafood,Prawn dumpling,"Steamed dumplings filled with minced prawns and bamboo shoots, served with vegetables in soup",Fish and seafood,Seafood-based dishes,100%,1 piece(s) = 49g,-,Lab Analysis,2025,Per 100g,Per Serving (49g),152,74,10.1,4.95,8.45,4.14,2.5,1.23,0.03,0.01,8.85,4.34,1.2,0.59,-,-,Trace,Trace,431,211,127,62,19,9,0.57,0.28,70.85,34.72,-,-,1.67,0.82,3.04,1.49,Trace,Trace,-,-,0.1,0.05,Trace,Trace,Trace,Trace,Trace,Trace,1.1,0.54,Trace,Trace,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fish and seafood,Prawn fritter,Deep-fried prawn with batter,Fish and seafood,Seafood-based dishes,97.60%,1 piece(s) = 97g,-,Lab Analysis,2026,Per 100g,Per Serving (97g),297,281,9.45,8.95,15,14.2,6.3,5.96,0,0,31.1,29.44,3.25,3.08,-,-,1.8,1.7,485,459,167,158,87,82,1.26,1.19,40.8,38.63,-,-,-,-,-,-,-,-,-,-,0.3,0.28,0.3,0.28,0.4,0.38,0,0,2.25,2.13,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fish and seafood,Prawn rolls (hae zho),Deep-fried minced prawn and pork rolls in beancurd skin,Fish and seafood,Seafood-based dishes,100%,1 piece(s) = 28g,-,Lab Analysis,2023,Per 100g,Per Serving (28g),262,73,13.83,3.87,15.86,4.44,7.06,1.98,-,-,16.04,4.49,0.2,0.06,-,-,2,0.56,614,172,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fish and seafood,Salted egg squid,Deep-fried squid coated in salted egg sauce,Fish and seafood,Seafood-based dishes,100%,1 scoop(s) (serving spoon) = 100g,-,Lab Analysis,2018,Per 100g,Per Serving (100g),379,379,10.88,10.88,29.42,29.42,14.99,14.99,0.06,0.06,17.72,17.72,3.72,3.72,-,-,1.11,1.11,508,508,-,-,60,60,1.34,1.34,-,-,-,-,3.08,3.08,11.28,11.28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,124.65,124.65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-
Fish and seafood,Sambal clams (la la),Stir-fried clams in spicy chilli sambal sauce,Fish and seafood,Seafood-based dishes,100%,1 scoop(s) (serving spoon) = 100g,-,Lab Analysis,2018,Per 100g,Per Serving (100g),118,118,7.88,7.88,7.86,7.86,3.53,3.53,0.01,0.01,4,4,2.7,2.7,-,-,1.98,1.98,660,660,-,-,101,101,4.09,4.09,-,-,-,-,1.16,1.16,3.16,3.16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80.74,80.74,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.89,1.89,-,-,-,-,-,-,-,-,-,-,-,-
Fish and seafood,Sambal prawns,Malay-style spicy prawn dish stir fried in belachan (fermented shrimp paste block) and chilli,Fish and seafood,Seafood-based dishes,85.70%,1 scoop(s) (serving spoon) = 100g,1 plate(s) = 356g,Lab Analysis,2026,Per 100g,Per Serving (100g),122,105,9.2,7.88,7.6,6.51,3.3,2.83,0,0,4.18,3.58,3.85,3.3,-,-,1.25,1.07,500,429,167,143,55,47,1.02,0.87,75.95,65.09,-,-,-,-,-,-,-,-,-,-,1.4,1.2,1.65,1.41,0,0,0,0,0.8,0.69,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fish and seafood,Sambal sotong,Stir-fried cuttlefish with belachan (fermented shrimp paste block) and chilli,Fish and seafood,Seafood-based dishes,100%,1 scoop(s) (serving spoon) = 100g,-,Lab Analysis,2010,Per 100g,Per Serving (100g),115,115,12.3,12.3,5.2,5.2,2.38,2.38,-,-,4.8,4.8,3,3,-,-,2.3,2.3,888,888,-,-,32,32,1.2,1.2,-,-,-,-,0.46,0.46,1.95,1.95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,90,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-
Fish and seafood,Sambal stingray,Grilled stingray served with a layer of spicy sambal chilli paste,Fish and seafood,Seafood-based dishes,100%,1 plate(s) = 254g,-,Lab Analysis,2024,Per 100g,Per Serving (254g),167,424,16.45,41.78,8.25,20.96,2.68,6.81,0,0,6.75,17.15,4.15,10.54,-,-,2.5,6.35,473,1201,-,-,93,236,1.44,3.66,-,-,-,-,0.32,0.81,0.96,2.44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.13,15.57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-
Fish and seafood,Sambal tumis sotong kering,"Dried cuttlefish fried with ground peanut, anchovy, tamarind and belachan",Fish and seafood,Seafood-based dishes,100%,1 scoop(s) (serving spoon) = 100g,-,Lab Analysis,2010,Per 100g,Per Serving (100g),207,207,18.3,18.3,13.7,13.7,3.71,3.71,-,-,2.5,2.5,1.65,1.65,-,-,4.8,4.8,818,818,-,-,150,150,4.23,4.23,-,-,-,-,4.38,4.38,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,180.9,180.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.2,0.2,-,-,-,-,-,-,-,-,-,-,-,-
Fish and seafood,Seafood soup,"Clear soup with prawns, crabstick, fish, tofu, vegetables and seaweed",Fish and seafood,Seafood-based dishes,97.33%,1 bowl(s) = 674g,-,Lab Analysis,2025,Per 100g,Per Serving (674g),24,157,1.48,9.71,0.4,2.62,0.1,0.66,Trace,Trace,3.55,23.29,Trace,Trace,-,-,Trace,Trace,267,1752,90,590,21,138,0.16,1.05,93.85,615.66,-,-,0.08,0.52,0.1,0.66,5,32.8,-,-,Trace,Trace,Trace,Trace,Trace,Trace,Trace,Trace,Trace,Trace,Trace,Trace,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fish and seafood,Seafood tom yum soup (clear),"Thai-style spicy and tangy soup, cooked with mixed seafood and lemon grass",Fish and seafood,Seafood-based dishes,100%,1 bowl(s) = 546g,-,Lab Analysis,2023,Per 100g,Per Serving (546g),38,207,3.02,16.49,0.97,5.3,0.29,1.58,-,-,4.24,23.15,2.3,12.56,-,-,0.75,4.1,646,3527,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fish and seafood,Sotong masak hitam,Squid cooked with chilli gravy,Fish and seafood,Seafood-based dishes,100%,1 scoop(s) (serving spoon) = 100g,-,Lab Analysis,2010,Per 100g,Per Serving (100g),155,155,14.3,14.3,10.6,10.6,4.9,4.9,-,-,0.7,0.7,Trace,Trace,-,-,1.5,1.5,712,712,-,-,36,36,2.5,2.5,-,-,-,-,1.1,1.1,4.1,4.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,117,117,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Trace,Trace,-,-,-,-,-,-,-,-,-,-,-,-
Fish and seafood,Sotong panggang,Grilled squid with spices and marinade,Fish and seafood,Seafood-based dishes,100%,1 scoop(s) (serving spoon) = 100g,-,Lab Analysis,2010,Per 100g,Per Serving (100g),121,121,14.2,14.2,5.63,5.63,2.51,2.51,Trace,Trace,3.3,3.3,2.4,2.4,-,-,3.3,3.3,541,541,-,-,44,44,1.75,1.75,-,-,-,-,1.08,1.08,2.04,2.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.9,10.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Trace,Trace,-,-,-,-,-,-,-,-,-,-,-,-
Fish and seafood,Stir fried cuttlefish with chilli,Stir-fried cuttlefish with sliced onions and chilli,Fish and seafood,Seafood-based dishes,100%,1 scoop(s) (serving spoon) = 100g,-,Lab Analysis,2010,Per 100g,Per Serving (100g),144,144,11.5,11.5,9.73,9.73,2.79,2.79,-,-,2.51,2.51,2.41,2.41,-,-,0,0,503,503,-,-,61,61,2.07,2.07,-,-,-,-,3.19,3.19,3.31,3.31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,132.78,132.78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-
Fish and seafood,Fish and chips,"Deep-fried battered fish, served with tartar sauce and fries on the side",Fish and seafood,Fish-based dishes,100%,1 plate(s) = 345g,-,Derived,2026,Per 100g,Per Serving (345g),264,911,7.86,27.12,16.65,57.44,6.21,21.42,0.09,0.31,20.54,70.86,1.02,3.52,-,-,1.47,5.07,452,1559,244,842,15,52,0.79,2.73,52.57,181.37,-,-,2.41,8.31,6.26,21.6,Trace,Trace,-,-,0.28,0.97,0.25,0.86,Trace,Trace,Trace,Trace,0.5,1.73,Trace,Trace,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fruit,Avocado,Pear-shaped green fruit with creamy buttery texture when ripe. Seed removed,Fruit,Fresh fruit,72%,1 whole = 272g,-,Borrowed,2025,Per 100g,Per Serving (272g),160,313,2,3.92,14.66,28.71,2.13,4.17,0,0,8.53,16.71,0.66,1.29,-,-,6.7,13.12,7,14,485,950,12,24,0.55,1.08,73.23,143.41,-,-,1.82,3.56,9.8,19.19,0,0,0,0,0.37,0.72,0.12,0.24,0,0,0.1,0.2,0.06,0.12,0,0,0.11,0.22,7,13.71,0,0,62,121.42,0.07,0.14,0.13,0.25,0.26,0.51,81,158.63,0,0,10,19.58,0,0,3.08,6.03,21,41.13,52,102,0.4,0.78,0.64,1.25
Fruit,Banana,Elongated and curved tropical fruit with soft sweet flesh. Skin removed,Fruit,Fresh fruit,65%,1 whole (medium) = 118g,-,Borrowed,2025,Per 100g,Per Serving (118g),94,72,1.4,1.07,0.2,0.15,0,0,0,0,19.6,15.03,12.8,9.82,-,-,2.2,1.69,0,0,-,-,5,4,0.29,0.22,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.8,5.22,44.2,33.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.72,6.69,-,-,-,-,-,-,-,-,-,-,-,-
Fruit,Cut mixed fruits,"A mixture of sliced papaya, pineapple, honeydew and watermelon",Fruit,Fresh fruit,86.94%,1 cup(s) = 289g,-,Derived,2026,Per 100g,Per Serving (289g),58,146,0.35,0.88,0.31,0.78,0.07,0.18,0.27,0.68,7.17,18.02,5.37,13.49,2.75,6.91,0.86,2.16,4,10,82,206,87,219,3.89,9.77,44.06,110.7,0.24,0.6,0.03,0.08,0.04,0.1,0,0,12.18,30.6,1.55,3.89,2.44,6.13,1,2.51,0,0,1.31,3.29,0,0,3.07,7.71,19.34,48.59,10.15,25.5,87.19,219.07,0.02,0.05,0.03,0.08,0.09,0.23,14.57,36.61,6.43,16.16,29.18,73.32,6.09,15.3,0.14,0.35,0.91,2.29,7,18,0.2,0.5,0.11,0.28
