id,dish_name,other_names,category,food_group,food_subgroup,description,serving_default_desc,serving_basis,kcal_default,kcal_per_100,per100_unit,protein_g,carbs_g,fat_g,portion_note,input_mode,is_favourite,source,last_updated
vegetarian-laksa,Vegetarian laksa,,Meat and alternatives,Meat and alternatives,Alternative meat-based dishes,Spicy coconut milk-based noodle soup with tofu and vegetables,1 bowl(s) = 746g,Per Serving (746g),753,101,Per 100g,15.96,80.05,40.96,,photo,FALSE,Lab Analysis,2024
fried-mock-fish,Fried mock fish,,Meat and alternatives,Meat and alternatives,Alternative meats,Deep-fried mashed gluten and soya bean wrapped inside seaweed and dried beancurd sheet,1 scoop(s) (serving spoon) = 100g,Per Serving (100g),314,314,Per 100g,21.1,2.5,24.3,,photo,FALSE,Lab Analysis,2010
mock-char-siew,Mock char siew,,Meat and alternatives,Meat and alternatives,Alternative meats,Deep-fried gluten and soybean flour with red colouring,1 scoop(s) (serving spoon) = 100g,Per Serving (100g),164,164,Per 100g,19.2,8.4,6,,photo,FALSE,Lab Analysis,2010
mock-chicken,Mock chicken,,Meat and alternatives,Meat and alternatives,Alternative meats,Deep-fried gluten and soybean fibres,1 piece(s) = 100g,Per Serving (100g),204,204,Per 100g,16.67,6.51,12.29,,photo,FALSE,Lab Analysis,2024
mock-meat-vegetarian-beehoon,Mock meat (Vegetarian beehoon),,Meat and alternatives,Meat and alternatives,Alternative meat-based dishes,"Plant-based protein substitute resembling meat, used in vegetarian dishes",1 portion(s) = 66g,Per Serving (66g),135,205,Per 100g,13.33,9.17,5.02,,photo,FALSE,Lab Analysis,2025
beef-ribeye-steak-raw,"Beef ribeye steak, raw",,Meat and alternatives,Meat and alternatives,Beef,"Raw, uncooked red meat from the rib portion of beef cattle, without bone, displaying a deep red colour with marbling. Lean muscle meat with internal and external fat attached.",1 whole = 165g,Per Serving (165g),348,211,Per 100g,35.64,0,22.94,,photo,FALSE,Borrowed,2025
beef-ribeye-steak-raw-lean,"Beef ribeye steak, raw, lean",,Meat and alternatives,Meat and alternatives,Beef,"Raw, uncooked red meat from the rib portion of beef cattle, without bone, displaying a deep red colour with marbling. Lean muscle meat only, with all possible internal and external separable fat removed.",1 whole = 165g,Per Serving (165g),200,121,Per 100g,39.27,0,4.62,,photo,FALSE,Borrowed,2025
beef-sirloin-steak-raw,"Beef sirloin steak, raw",,Meat and alternatives,Meat and alternatives,Beef,"Raw, uncooked red meat from the rear sirloin portion of beef cattle, with bone, displaying a deep red colour with moderate marbling. Lean muscle meat with internal and external fat attached.",1 whole = 255g,Per Serving (255g),560,222,Per 100g,54.02,0,38.62,,photo,FALSE,Borrowed,2025
beef-sirloin-steak-raw-lean,"Beef sirloin steak, raw, lean",,Meat and alternatives,Meat and alternatives,Beef,"Raw, uncooked red meat from the rear sirloin portion of beef cattle, with bone, displaying a deep red colour with moderate marbling. Lean muscle meat only, with all possible internal and external separable fat removed.",1 whole = 255g,Per Serving (255g),290,115,Per 100g,60.84,0,4.8,,photo,FALSE,Borrowed,2025
grilled-beef-fillet,Grilled beef fillet,,Meat and alternatives,Meat and alternatives,Beef,"Red meat from the tenderloin portion of beef cattle, without bone, grilled until cooked through, with slightly charred exterior. Lean muscle meat with internal and external fat attached.",1 whole = 80g,Per Serving (80g),162,203,Per 100g,24.64,0,7.04,,photo,FALSE,Borrowed,2025
grilled-beef-fillet-lean,"Grilled beef fillet, lean",,Meat and alternatives,Meat and alternatives,Beef,"Red meat from the tenderloin portion of beef cattle, without bone, grilled until cooked through, with slightly charred exterior.Lean muscle meat only, with all possible internal and external separable fat removed.",1 whole = 80g,Per Serving (80g),142,178,Per 100g,25.52,0,4.4,,photo,FALSE,Borrowed,2025
grilled-beef-ribeye-steak,Grilled beef ribeye steak,,Meat and alternatives,Meat and alternatives,Beef,"Red meat from the rib portion of beef cattle, with bone, grilled until cooked through, with a slightly charred exterior. Lean muscle meat with internal and external fat attached.",1 whole = 115g,Per Serving (115g),257,228,Per 100g,33.13,0,13.86,,photo,FALSE,Borrowed,2025
grilled-beef-ribeye-steak-lean,"Grilled beef ribeye steak, lean",,Meat and alternatives,Meat and alternatives,Beef,"Red meat from the rib portion of beef cattle, with bone, grilled until cooked through, with a slightly charred exterior. Lean muscle meat only, with all possible internal and external separable fat removed.",1 whole = 115g,Per Serving (115g),190,169,Per 100g,35.95,0,5.07,,photo,FALSE,Borrowed,2025
grilled-beef-round-steak,Grilled beef round steak,,Meat and alternatives,Meat and alternatives,Beef,"Red meat from the rear leg round portion of beef cattle, with bone, grilled until cooked through, with a slightly charred exterior. Lean muscle meat with internal and external fat attached.",1 whole = 265g,Per Serving (265g),438,167,Per 100g,81.33,0,12.07,,photo,FALSE,Borrowed,2025
grilled-beef-sirloin-steak,Grilled beef sirloin steak,,Meat and alternatives,Meat and alternatives,Beef,"Red meat from the rear sirloin portion of beef cattle, with bone, grilled until cooked through, with a slightly charred exterior. Lean muscle meat with internal and external fat attached.",1 whole = 165g,Per Serving (165g),394,241,Per 100g,44.59,0,24.01,,photo,FALSE,Borrowed,2025
grilled-veal-shoulder-steak,Grilled veal shoulder steak,,Meat and alternatives,Meat and alternatives,Beef,"Tender, pale red meat from the shoulder portion of young calf, with bone, grilled until cooked through, with a slightly charred exterior. Lean muscle meat with internal and external fat attached.",1 whole = 60g,Per Serving (60g),105,199,Per 100g,13.58,0.08,5.58,,photo,FALSE,Borrowed,2025
grilled-veal-shoulder-steak-lean,"Grilled veal shoulder steak, lean",,Meat and alternatives,Meat and alternatives,Beef,"Tender, pale red meat from the shoulder portion of young calf, with bone, grilled until cooked through, with a slightly charred exterior. Lean muscle meat only, with all separable fat removed.",1 whole = 60g,Per Serving (60g),84,159,Per 100g,14.43,0,2.92,,photo,FALSE,Borrowed,2025
beef-ball-soup-no-noodles,Beef ball soup (no noodles),,Meat and alternatives,Meat and alternatives,Beef-based dishes,Beef broth cooked with boiled beef ball and spring onion,1 bowl(s) = 592g,Per Serving (592g),184,31,Per 100g,19.24,5.56,9.06,,photo,FALSE,Lab Analysis,2010
beef-rawon,Beef rawon,,Meat and alternatives,Meat and alternatives,Beef-based dishes,"Shin beef cooked with buah keluak, nuts, sugar, sweet dark soya sauce, shallots simmered",1 bowl(s) = 293g,Per Serving (293g),267,91,Per 100g,22.15,5.63,17.4,,photo,FALSE,Lab Analysis,2010
beef-rendang,Beef rendang,,Meat and alternatives,Meat and alternatives,Beef-based dishes,"Malay-style spicy, rich and creamy beef stew made by simmering beef with coconut milk and spices",1 scoop(s) (serving spoon) = 100g,Per Serving (100g),223,223,Per 100g,25.5,1.4,12.9,,photo,FALSE,Lab Analysis,2010
beef-satay,Beef satay,,Meat and alternatives,Meat and alternatives,Beef-based dishes,Grilled marinated beef skewers,1 stick(s) = 12g,Per Serving (12g),27,223,Per 100g,2.99,2.44,0.56,,photo,FALSE,Lab Analysis,2026
beef-satay-with-sauce,Beef satay with sauce,,Meat and alternatives,Meat and alternatives,Beef-based dishes,Grilled marinated beef skewers with peanut satay sauce,1 stick(s) = 21g,Per Serving (21g),45,213,Per 100g,3.48,4.45,1.46,,photo,FALSE,Derived,2026
beef-steak,Beef steak,,Meat and alternatives,Meat and alternatives,Beef-based dishes,Cut of beef (tenderloin/ribeye/sirloin/striploin) grilled or pan-seared to preferred doneness,1 whole = 157g,Per Serving (157g),371,236,Per 100g,41.06,,22.92,,photo,FALSE,Lab Analysis,2025
beef-teppanyaki,Beef teppanyaki,,Meat and alternatives,Meat and alternatives,Beef-based dishes,"Beef meat, boneless with bean sprout, green onion and dark sauce, cooked on hotplate",1 scoop(s) (serving spoon) = 100g,Per Serving (100g),129,129,Per 100g,12.8,0.1,8.6,,photo,FALSE,Lab Analysis,2010
beef-with-black-bean-sauce,Beef with black bean sauce,,Meat and alternatives,Meat and alternatives,Beef-based dishes,Stir-fried beef with black bean sauce,1 scoop(s) (serving spoon) = 100g,Per Serving (100g),205,205,Per 100g,21.39,3.99,11.2,,photo,FALSE,Lab Analysis,2010
black-pepper-steak,Black pepper steak,,Meat and alternatives,Meat and alternatives,Beef-based dishes,"Grilled beef steak, served with black pepper sauce on the side",1 plate(s) = 475g,Per Serving (475g),850,179,Per 100g,48.97,49.07,51.58,,photo,FALSE,Lab Analysis,2010
braised-beef-stomach,Braised beef stomach,,Meat and alternatives,Meat and alternatives,Beef-based dishes,Chinese-style beef tripe in brown sauce and spices,1 scoop(s) (serving spoon) = 100g,Per Serving (100g),192,192,Per 100g,17.3,3.7,12.1,,photo,FALSE,Lab Analysis,2010
daging-masak-kicap,Daging masak kicap,,Meat and alternatives,Meat and alternatives,Beef-based dishes,Beef pieces simmered in mixture of soy sauce and sweet soy sauce,1 scoop(s) (serving spoon) = 100g,Per Serving (100g),95,95,Per 100g,7.88,3.78,5.36,,photo,FALSE,Lab Analysis,2010
daging-rempah,Daging rempah,,Meat and alternatives,Meat and alternatives,Beef-based dishes,"Lamb patty, cooked with coconut milk, garlic, ginger and onion",1 scoop(s) (serving spoon) = 100g,Per Serving (100g),241,241,Per 100g,17.9,3.5,17.3,,photo,FALSE,Lab Analysis,2010
paru-goreng,Paru goreng,,Meat and alternatives,Meat and alternatives,Beef-based dishes,Malay-style deep-fried beef lungs with spices,1 scoop(s) (serving spoon) = 100g,Per Serving (100g),246,246,Per 100g,26.5,,15.5,,photo,FALSE,Lab Analysis,2010
stir-fried-beef-with-onions,Stir fried beef with onions,,Meat and alternatives,Meat and alternatives,Beef-based dishes,Stir fried beef slices with onions,1 scoop(s) (serving spoon) = 104g,Per Serving (104g),107,103,Per 100g,11.96,6.45,3.69,,photo,FALSE,Lab Analysis,2025
thai-basil-beef-meat-only,Thai basil beef (meat only),,Meat and alternatives,Meat and alternatives,Beef-based dishes,Stir-fried beef with basil and chilli,1 plate(s) = 141g,Per Serving (141g),190,135,Per 100g,19.7,4.09,10.59,,photo,FALSE,Lab Analysis,2018
japanese-stir-fried-beef-slices,Japanese stir fried beef slices,,Meat and alternatives,Meat and alternatives,Beef-based dishes,"Sliced beef stir-fried with sweet-savoury sauce, from beef rice bowl",1 portion(s) = 78g,Per Serving (78g),185,237,Per 100g,15.99,3.9,11.7,,photo,FALSE,Lab Analysis,2025
korean-beef-bulgogi-meat-only,Korean beef bulgogi (meat only),,Meat and alternatives,Meat and alternatives,Beef-based dishes,Marinated grilled beef in sweet-savoury sauce,1 set(s) = 190g,Per Serving (190g),608,320,Per 100g,29.89,18.15,46.28,,photo,FALSE,Derived,2026
grilled-lamb-chump-chop,Grilled lamb chump chop,,Meat and alternatives,Meat and alternatives,Mutton,"Tender red meat from the rear chump portion of lamb, without bone, grilled until cooked through, with a slightly charred exterior. Lean muscle meat with internal and external fat attached.",1 whole = 85g,Per Serving (85g),254,299,Per 100g,25.5,0,17,,photo,FALSE,Borrowed,2025
grilled-lamb-midloin-chop,Grilled lamb midloin chop,,Meat and alternatives,Meat and alternatives,Mutton,"Tender red meat from the loin portion of lamb, with bone, grilled until cooked through, with a slightly charred exterior. Lean muscle meat with internal and external fat attached.",1 whole = 65g,Per Serving (65g),145,276,Per 100g,14.11,0,9.95,,photo,FALSE,Borrowed,2025
grilled-lamb-ribloin-cutlet,Grilled lamb ribloin cutlet,,Meat and alternatives,Meat and alternatives,Mutton,"Tender red meat from the rib and loin portion, with bone, grilled until cooked through, with a slightly charred exterior. Lean muscle meat with internal and external fat attached.",1 whole = 50g,Per Serving (50g),106,278,Per 100g,10.34,0,7.18,,photo,FALSE,Borrowed,2025
lamb-chop,Lamb chop,,Meat and alternatives,Meat and alternatives,Mutton,"Pan-fried lamb chop, trimmed",1 plate(s) = 400g,Per Serving (400g),980,286,Per 100g,96.5,0,66.24,,photo,FALSE,Derived,2026
cooked-mutton,Cooked mutton,,Meat and alternatives,Meat and alternatives,Mutton,"Mature sheep meat from various portions, cooked until tender, offering a firm texture with robust, gamey taste, without bone.",1 slice(s) = 24g,Per Serving (24g),155,644,Per 100g,2.57,0,16.3,,photo,FALSE,Borrowed,2025
grilled-lamb-chump-chop-lean,"Grilled lamb chump chop, lean",,Meat and alternatives,Meat and alternatives,Mutton,"Tender red meat from the rear chump portion of lamb, without bone, grilled until cooked through, with a slightly charred exterior. Lean muscle meat only, with all separable fat removed.",1 whole = 85g,Per Serving (85g),195,229,Per 100g,28.99,0,8.67,,photo,FALSE,Borrowed,2025
grilled-lamb-midloin-chop-lean,"Grilled lamb midloin chop, lean",,Meat and alternatives,Meat and alternatives,Mutton,"Tender red meat from the loin portion of lamb, with bone, grilled until cooked through, with a slightly charred exterior. Lean muscle meat only, with all possible internal and external separable fat removed.",1 whole = 65g,Per Serving (65g),106,201,Per 100g,15.69,0,4.79,,photo,FALSE,Borrowed,2025
grilled-lamb-ribloin-cutlet-lean,"Grilled lamb ribloin cutlet, lean",,Meat and alternatives,Meat and alternatives,Mutton,"Tender red meat from the rib and loin portion, with bone, grilled until cooked through, with a slightly charred exterior. Lean muscle meat only, with all separable fat removed.",1 whole = 50g,Per Serving (50g),76,200,Per 100g,11.59,0,3.27,,photo,FALSE,Borrowed,2025
lamb-chump-chop-raw,"Lamb chump chop, raw",,Meat and alternatives,Meat and alternatives,Mutton,"Raw, uncooked red meat from the rear chump portion of lamb, with bone, displaying a deep red colour with marbled texture. Lean muscle meat with internal and external fat attached.",1 whole = 85g,Per Serving (85g),173,234,Per 100g,14.49,0,12.94,,photo,FALSE,Borrowed,2025
lamb-chump-chop-raw-lean,"Lamb chump chop, raw, lean",,Meat and alternatives,Meat and alternatives,Mutton,"Raw, uncooked red meat from the rear chump portion of lamb, with bone, displaying a deep red colour with marbled texture. Lean muscle meat only, with all separable fat removed.",1 whole = 85g,Per Serving (85g),96,130,Per 100g,16.64,0,3.18,,photo,FALSE,Borrowed,2025
lamb-midloin-chop-raw,"Lamb midloin chop, raw",,Meat and alternatives,Meat and alternatives,Mutton,"Raw, uncooked red meat from the loin portion of lamb, with bone, displaying a deep red colour with tender texture and moderate marbling. Lean muscle meat with internal and external fat attached.",1 whole = 95g,Per Serving (95g),243,305,Per 100g,17.56,0,19.47,,photo,FALSE,Borrowed,2025
lamb-shank-raw,"Lamb shank, raw",,Meat and alternatives,Meat and alternatives,Mutton,"Raw, uncooked red meat from the lower leg portion of lamb, with bone, displaying a deep red colour with dense texture. Lean muscle meat with internal and external fat attached.",1 whole = 295g,Per Serving (295g),488,188,Per 100g,56.33,0,29.08,,photo,FALSE,Borrowed,2025
lamb-shank-raw-lean,"Lamb shank, raw, lean",,Meat and alternatives,Meat and alternatives,Mutton,"Raw, uncooked red meat from the lower leg portion of lamb, with bone, displaying a deep red colour with dense texture. Lean muscle meat only, with all possible internal and external separable fat removed.",1 whole = 295g,Per Serving (295g),296,114,Per 100g,62.04,0,4.93,,photo,FALSE,Borrowed,2025
chinese-mutton-soup,Chinese mutton soup,,Meat and alternatives,Meat and alternatives,Mutton-based dishes,"Chinese-style soup made with mutton, with bones, dried beancurd, black fungus and water",1 bowl(s) = 450g,Per Serving (450g),329,73,Per 100g,30.6,0,22.95,,photo,FALSE,Lab Analysis,2010
kambing-goreng,Kambing goreng,,Meat and alternatives,Meat and alternatives,Mutton-based dishes,Malay-style fried mutton simmered in coconut milk,1 scoop(s) (serving spoon) = 100g,Per Serving (100g),273,273,Per 100g,34,1.1,14.68,,photo,FALSE,Lab Analysis,2010
kambing-soup,Kambing soup,,Meat and alternatives,Meat and alternatives,Mutton-based dishes,Mutton soup with spice,1 bowl(s) = 463g,Per Serving (463g),347,75,Per 100g,32.32,17.04,16.58,,photo,FALSE,Lab Analysis,2010
keema,Keema,,Meat and alternatives,Meat and alternatives,Mutton-based dishes,Indian-style minced meat fried with peas and yoghurt,1 scoop(s) (serving spoon) = 100g,Per Serving (100g),152,152,Per 100g,14.5,2.75,9.23,,photo,FALSE,Lab Analysis,2010
lamb-pirattal,Lamb pirattal,,Meat and alternatives,Meat and alternatives,Mutton-based dishes,"Indian-style stir-fried lamb pieces, pre-marinated with sauteed ginger, garlic and green chilli",1 scoop(s) (serving spoon) = 100g,Per Serving (100g),156,156,Per 100g,16.1,5.9,7.6,,photo,FALSE,Lab Analysis,2010
mutton-curry,Mutton curry,,Meat and alternatives,Meat and alternatives,Mutton-based dishes,"Mutton, with yoghurt, asafoetida, ginger, garlic, almond and spice",1 scoop(s) (serving spoon) = 302g,Per Serving (302g),559,185,Per 100g,39.89,5.47,41.92,,photo,FALSE,Lab Analysis,2023
mutton-curry-dry,Mutton curry (dry),,Meat and alternatives,Meat and alternatives,Mutton-based dishes,"Mutton meat, with shallots, curry powder, garlic, ginger, spices, coconut milk",1 scoop(s) (serving spoon) = 100g,Per Serving (100g),185,185,Per 100g,19.4,0.5,11.7,,photo,FALSE,Lab Analysis,2010
mutton-cutlet,Mutton cutlet,,Meat and alternatives,Meat and alternatives,Mutton-based dishes,Indian-style breaded and deep-fried mutton,1 piece(s) = 100g,Per Serving (100g),297,297,Per 100g,22.06,8.59,19.42,,photo,FALSE,Lab Analysis,2010
mutton-kurma,Mutton kurma,,Meat and alternatives,Meat and alternatives,Mutton-based dishes,Indian-style mutton curry cooked with kurmah powder and coocnut milk,1 scoop(s) (serving spoon) = 100g,Per Serving (100g),154,154,Per 100g,11,3.1,10.7,,photo,FALSE,Lab Analysis,2010
mutton-rendang,Mutton rendang,,Meat and alternatives,Meat and alternatives,Mutton-based dishes,"Mutton, lean, in a coconut and chilli gravy",1 scoop(s) (serving spoon) = 100g,Per Serving (100g),182,182,Per 100g,20.7,4.2,9.1,,photo,FALSE,Lab Analysis,2010
mutton-satay,Mutton satay,,Meat and alternatives,Meat and alternatives,Mutton-based dishes,Barbequed skewered mutton meat seasoned in spices,1 stick(s) = 11g,Per Serving (11g),33,303,Per 100g,2.52,1.92,1.72,,photo,FALSE,Lab Analysis,2026
mutton-satay-with-sauce,Mutton satay with sauce,,Meat and alternatives,Meat and alternatives,Mutton-based dishes,"Barbequed mutton meat seasoned in spices, skewered and served with peanut gravy",1 stick(s) = 19g,Per Serving (19g),48,255,Per 100g,2.88,3.75,2.43,,photo,FALSE,Derived,2026
sup-tulang,Sup tulang,,Meat and alternatives,Meat and alternatives,Mutton-based dishes,Soup dish made from mutton or beef bones,1 bowl(s) = 934g,Per Serving (934g),211,49,Per 100g,20.15,13.1,8.68,,photo,FALSE,Lab Analysis,2010
frog-leg-raw,"Frog leg, raw",,Meat and alternatives,Meat and alternatives,Other meats,"Raw, uncooked white meat from the hind legs of frogs, with bone, displaying a pale pink colour with tender texture.",1 whole = 23g,Per Serving (23g),6,73,Per 100g,1.32,0,0.02,,photo,FALSE,Borrowed,2025
braised-pig-heart,Braised pig heart,,Meat and alternatives,Meat and alternatives,Pork,"Tender organ meat from the pig's heart, braised until tender, offering a firm, dense texture.",1 piece(s) = 13g,Per Serving (13g),19,148,Per 100g,3.07,0.05,0.66,,photo,FALSE,Borrowed,2025
braised-pig-kidney,Braised pig kidney,,Meat and alternatives,Meat and alternatives,Pork,"Soft organ meat from the pig's kidney, braised until tender, offering a firm, dense texture.",1 piece(s) = 12g,Per Serving (12g),18,151,Per 100g,3.05,0,0.56,,photo,FALSE,Borrowed,2025
braised-pig-tail,Braised pig tail,,Meat and alternatives,Meat and alternatives,Pork,"Cooked pale pink meat from the tail portion of the pig, with bone, braised until tender, offering a rich, gelatinous texture.",1 whole = 275g,Per Serving (275g),741,396,Per 100g,31.79,0,66.95,,photo,FALSE,Borrowed,2025
braised-pork-liver,Braised pork liver,,Meat and alternatives,Meat and alternatives,Pork,"Soft organ meat from the pig's liver, braised until tender, offering a smooth, creamy texture with rich, earthy flavour and distinctive iron-like taste.",1 piece(s) = 5g,Per Serving (5g),8,165,Per 100g,1.3,0.19,0.22,,photo,FALSE,Borrowed,2025
braised-pork-spare-ribs,Braised pork spare ribs,,Meat and alternatives,Meat and alternatives,Pork,"Tender meat from the rib portion of the pig, with bone, braised until tender, offering a succulent texture.",1 piece(s) = 36g,Per Serving (36g),109,397,Per 100g,7.95,0,8.29,,photo,FALSE,Borrowed,2025
fried-pig-skin,Fried pig skin,,Meat and alternatives,Meat and alternatives,Pork,"Crispy pork skin that has been deep-fried until golden and crunchy, offering a satisfying crispy texture.",1 piece(s) = 3g,Per Serving (3g),18,593,Per 100g,1.75,0,1.2,,photo,FALSE,Borrowed,2025
grilled-pork-tenderloin-steak,Grilled pork tenderloin steak,,Meat and alternatives,Meat and alternatives,Pork,"Cooked tender meat from the tenderloin portion of pork, without bone, grilled until cooked through, with a slightly charred exterior. Lean muscle meat with internal and external fat attached.",1 whole = 120g,Per Serving (120g),176,147,Per 100g,31.25,0,4.75,,photo,FALSE,Borrowed,2025
pig-heart-raw,"Pig heart, raw",,Meat and alternatives,Meat and alternatives,Pork,"Raw, uncooked organ meat from the pig's heart, displaying a deep red colour with dense, firm texture.",1 whole = 226g,Per Serving (226g),267,118,Per 100g,39.03,3.01,9.85,,photo,FALSE,Borrowed,2025
pig-intestine-raw,"Pig intestine, raw",,Meat and alternatives,Meat and alternatives,Pork,"Raw, uncooked digestive tract from the pig, displaying a pale colour with tubular structure.",1 piece(s) = 12g,Per Serving (12g),22,182,Per 100g,0.92,0,1.99,,photo,FALSE,Borrowed,2025
pig-kidney-raw,"Pig kidney, raw",,Meat and alternatives,Meat and alternatives,Pork,"Raw, uncooked soft organ meat from the pig's kidney, displaying a dark red colour with smooth texture.",1 whole = 233g,Per Serving (233g),233,100,Per 100g,38.35,0,7.57,,photo,FALSE,Borrowed,2025
pig-stomach-raw,"Pig stomach, raw",,Meat and alternatives,Meat and alternatives,Pork,"Raw, uncooked organ meat from the pig's stomach lining, displaying a muscular texture with natural folds and creases.",1 piece(s) = 11g,Per Serving (11g),17,159,Per 100g,1.85,0,1.12,,photo,FALSE,Borrowed,2025
pig-tail-raw,"Pig tail, raw",,Meat and alternatives,Meat and alternatives,Pork,"Raw, uncooked meat and cartilage from the tail portion of the pig, with bone, displaying a pale pink colour with substantial fat layers and cartilaginous segments.",1 piece(s) = 129g,Per Serving (129g),341,378,Per 100g,16.03,0,30.25,,photo,FALSE,Borrowed,2025
pig-tongue-raw,"Pig tongue, raw",,Meat and alternatives,Meat and alternatives,Pork,"Raw, uncooked organ meat from the pig's tongue, displaying a pale pink colour with firm, dense texture.",1 piece(s) = 59g,Per Serving (59g),133,225,Per 100g,9.62,0,10.15,,photo,FALSE,Borrowed,2025
pig-trotter-raw,"Pig trotter, raw",,Meat and alternatives,Meat and alternatives,Pork,"Raw, uncooked foot portion of the pig, with bone, displaying a pale pink colour with gelatinous connective tissue throughout.",1 piece(s) = 61g,Per Serving (61g),78,212,Per 100g,8.48,0,4.61,,photo,FALSE,Borrowed,2025
pork-butterfly-steak-raw,"Pork butterfly steak, raw",,Meat and alternatives,Meat and alternatives,Pork,"Raw, uncooked pork meat that has been butterflied (cut open and flattened), without bone, displaying a pale pink colour with tender texture. Lean muscle meat with internal and external fat attached.",1 whole = 155g,Per Serving (155g),239,154,Per 100g,35.18,0,10.85,,photo,FALSE,Borrowed,2025
pork-leg-raw,"Pork leg, raw",,Meat and alternatives,Meat and alternatives,Pork,"Raw, uncooked meat from the hind leg portion of pork, with bone, displaying a pale pink colour with firm texture. Lean muscle meat with internal and external fat attached.",1 piece(s) = 125g,Per Serving (125g),257,245,Per 100g,18.3,0,19.81,,photo,FALSE,Borrowed,2025
pork-liver-raw,"Pork liver, raw",,Meat and alternatives,Meat and alternatives,Pork,"Raw, uncooked organ meat from the pig's liver, displaying a dark reddish-brown colour with smooth, dense texture.",1 piece(s) = 9g,Per Serving (9g),12,134,Per 100g,1.93,0.22,0.33,,photo,FALSE,Borrowed,2025
pork-spare-ribs-raw,"Pork spare ribs, raw",,Meat and alternatives,Meat and alternatives,Pork,"Raw, uncooked meat from the rib portion of pork, with bone, displaying a pale pink colour with marbled texture.",1 piece(s) = 54g,Per Serving (54g),117,286,Per 100g,7.43,0,9.85,,photo,FALSE,Borrowed,2025
roasted-pork-spare-ribs,Roasted pork spare ribs,,Meat and alternatives,Meat and alternatives,Pork,"Tender meat from the rib portion of pork, with bone, oven baked until cooked through, offering a succulent texture.",1 piece(s) = 28g,Per Serving (28g),77,361,Per 100g,4.45,0,6.57,,photo,FALSE,Borrowed,2025
bak-kut-teh-dry,Bak kut teh (dry),,Meat and alternatives,Meat and alternatives,Pork-based dishes,"Singaporean stir-fried pork ribs braised in dark soy sauce, garlic, dried chillies and aromatic herbs",1 bowl(s) = 282g,Per Serving (282g),677,240,Per 100g,45.15,29.58,41.93,,photo,FALSE,Lab Analysis,2023
bak-kut-teh-soup,Bak kut teh (soup),,Meat and alternatives,Meat and alternatives,Pork-based dishes,Pork rib soup with herbs and spices,1 bowl(s) = 574g,Per Serving (574g),217,45,Per 100g,19.62,,15.18,,photo,FALSE,Lab Analysis,2025
black-vinegar-pig-s-trotter,Black vinegar pig's trotter,,Meat and alternatives,Meat and alternatives,Pork-based dishes,"Pig trotter pieces cooked in soup made from black vinegar, ginger and sugar",1 scoop(s) (serving spoon) = 100g,Per Serving (100g),102,107,Per 100g,5.13,10.07,4.47,,photo,FALSE,Lab Analysis,2010
braised-pig-skin,Braised pig skin,,Meat and alternatives,Meat and alternatives,Pork-based dishes,"Pig's skin served in black sauce, braised",1 piece(s) = 75g,Per Serving (75g),116,155,Per 100g,12.15,,7.5,,photo,FALSE,Lab Analysis,2010
braised-pig-trotters-with-mushroom,Braised pig trotters with mushroom,,Meat and alternatives,Meat and alternatives,Pork-based dishes,"Pig trotter with Chinese mushroom and chestnuts, braised in claypot",1 scoop(s) (serving spoon) = 100g,Per Serving (100g),127,205,Per 100g,10.78,2.12,8.46,,photo,FALSE,Lab Analysis,2010
braised-pig-s-intestine,Braised pig's intestine,,Meat and alternatives,Meat and alternatives,Pork-based dishes,Pig's small intestine braised in black sauce,1 scoop(s) (serving spoon) = 100g,Per Serving (100g),150,150,Per 100g,13.16,0,10.76,,photo,FALSE,Lab Analysis,2010
braised-pork-belly,Braised pork belly,,Meat and alternatives,Meat and alternatives,Pork-based dishes,Pork belly braised in dark soy sauce with spices and aromatics,1 scoop(s) (serving spoon) = 100g,Per Serving (100g),244,244,Per 100g,16.6,7.05,16.9,,photo,FALSE,Lab Analysis,2023
char-siew,Char siew,,Meat and alternatives,Meat and alternatives,Pork-based dishes,Honey barbecue pork,1 portion(s) = 66g,Per Serving (66g),140,212,Per 100g,16.96,5.68,6.4,,photo,FALSE,Lab Analysis,2025
fried-pork-chop,Fried pork chop,,Meat and alternatives,Meat and alternatives,Pork-based dishes,"Lean pork marinated with oyster sauce, soya sauce, and spices, pan fried",1 piece(s) = 128g,Per Serving (128g),206,161,Per 100g,30.84,4.13,7.39,,photo,FALSE,Lab Analysis,2023
grilled-pork-chop,Grilled pork chop,,Meat and alternatives,Meat and alternatives,Pork-based dishes,Grilled pork midloin chop,1 piece(s) = 135g,Per Serving (135g),368,363,Per 100g,24,0,30.48,,photo,FALSE,Borrowed,2025
gyoza,Gyoza,,Meat and alternatives,Meat and alternatives,Pork-based dishes,Fried dumpling with chives and minced pork filling,1 piece(s) = 19g,Per Serving (19g),36,187,Per 100g,1.6,3.99,1.46,,photo,FALSE,Lab Analysis,2025
herbal-bak-kut-teh-malaysian,Herbal bak kut teh (Malaysian),,Meat and alternatives,Meat and alternatives,Pork-based dishes,Malaysian-style pork rib soup with medicinal herbs and spices,1 bowl(s) = 502g,Per Serving (502g),718,143,Per 100g,47.94,14.16,52.41,,photo,FALSE,Lab Analysis,2023
